date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,87,406,4.95,4.95,4.51,4.51,0.01,27
107/07/03,53,233,4.25,4.54,4.25,4.40,-0.11,16
107/07/04,11,46,4.40,4.40,4.18,4.20,-0.2,6
107/07/05,32,140,4.20,4.55,4.20,4.21,0.01,9
107/07/06,405,"1,763",4.63,4.63,4.33,4.33,0.12,26
107/07/09,6,25,4.20,4.25,4.20,4.25,-0.08,4
107/07/10,12,54,4.47,4.47,4.47,4.47,0.22,8
107/07/11,8,34,4.21,4.45,4.21,4.27,-0.2,6
107/07/12,19,84,4.30,4.56,4.30,4.55,0.28,12
107/07/13,87,411,4.80,4.80,4.55,4.55,0.0,24
107/07/16,5,23,4.60,4.60,4.60,4.60,0.05,2
107/07/17,180,854,4.70,5.00,4.70,4.75,0.15,30
107/07/18,93,424,4.99,4.99,4.39,4.68,-0.07,18
107/07/19,29,129,4.46,4.47,4.45,4.47,-0.21,11
107/07/20,108,480,4.42,4.59,4.42,4.42,-0.05,15
107/07/23,0,0,--,--,--,--,0.0,1
107/07/24,7,32,4.42,4.42,4.42,4.42,-0.13,5
107/07/25,10,43,4.18,4.40,4.18,4.40,-0.02,5
107/07/26,2,9,4.40,4.40,4.40,4.40,0.0,2
107/07/27,37,163,4.40,4.40,4.40,4.40,0.0,5
107/07/30,4,16,4.40,4.40,4.40,4.40,0.0,3
107/07/31,0,1,--,--,--,--,0.0,1
107/08/01,26,116,4.11,4.65,4.11,4.35,-0.03,10
107/08/02,13,55,4.30,4.40,4.30,4.40,0.05,5
107/08/03,6,28,4.40,4.40,4.31,4.40,0.0,6
107/08/06,2,9,4.40,4.40,4.40,4.40,0.0,1
107/08/07,8,34,4.21,4.21,4.21,4.21,-0.19,1
107/08/08,10,42,4.13,4.13,4.13,4.13,-0.08,5
107/08/09,1,3,--,--,--,--,0.0,1
107/08/10,10,41,4.30,4.30,4.30,4.30,0.11,3
107/08/13,12,56,4.50,4.50,4.50,4.50,0.2,6
107/08/14,7,32,4.21,4.55,4.21,4.55,0.05,6
107/08/15,27,116,4.17,4.33,4.17,4.31,-0.24,7
107/08/16,4,19,4.40,4.40,4.40,4.40,0.09,5
107/08/17,34,146,4.05,4.39,4.05,4.38,-0.02,14
107/08/20,2,8,4.17,4.17,4.17,4.17,-0.21,1
107/08/21,17,69,4.05,4.17,4.05,4.17,0.0,5
107/08/22,5,19,4.17,4.17,4.17,4.17,0.0,6
107/08/23,0,0,--,--,--,--,0.0,0
107/08/24,11,43,3.88,3.88,3.88,3.88,-0.29,2
107/08/27,5,21,4.16,4.16,4.16,4.16,0.28,3
107/08/28,16,66,4.19,4.19,4.19,4.19,0.03,5
107/08/29,0,1,--,--,--,--,0.0,1
107/08/30,0,0,--,--,--,--,0.0,0
107/08/31,3,14,4.03,4.03,4.03,4.03,-0.12,3
107/09/03,21,82,4.20,4.20,4.00,4.00,-0.03,7
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,0,0,--,--,--,--,0.0,0
107/09/06,20,78,4.01,4.05,3.86,4.05,0.02,15
107/09/07,37,140,3.93,3.93,3.71,3.80,-0.25,14
107/09/10,20,71,3.56,3.56,3.45,3.45,-0.35,5
107/09/11,11,38,3.32,3.58,3.32,3.57,0.12,3
107/09/12,14,49,3.60,3.60,3.60,3.60,0.03,5
107/09/13,0,0,--,--,--,--,0.0,0
107/09/14,27,95,3.50,3.51,3.50,3.51,-0.09,23
107/09/17,30,105,3.50,3.51,3.50,3.51,0.0,6
107/09/18,30,105,3.51,3.51,3.51,3.51,0.0,4
107/09/19,31,109,3.51,3.51,3.27,3.51,0.0,6
107/09/20,0,0,--,--,--,--,0.0,0
107/09/21,10,38,3.75,3.75,3.75,3.75,0.24,2
107/09/25,8,29,3.51,3.51,3.51,3.51,-0.24,3
107/09/26,47,156,3.31,3.42,3.31,3.42,-0.09,5
107/09/27,16,54,3.48,3.49,3.48,3.49,0.07,5
107/09/28,13,45,3.49,3.49,3.49,3.49,0.0,3
107/10/01,2,7,3.32,3.32,3.32,3.32,-0.17,1
107/10/02,0,0,--,--,--,--,0.0,0
107/10/03,2,7,3.40,3.40,3.40,3.40,0.0,2
107/10/04,18,60,3.32,3.32,3.32,3.32,-0.08,4
107/10/05,22,71,3.30,3.46,3.14,3.20,-0.12,10
107/10/08,5,16,3.21,3.21,3.21,3.21,0.01,1
107/10/09,15,49,3.25,3.26,3.20,3.20,-0.01,6
107/10/11,28,84,2.97,3.03,2.97,3.03,-0.17,12
107/10/12,23,65,2.81,2.86,2.81,2.86,-0.17,5
107/10/15,16,50,3.09,3.09,3.08,3.09,0.23,8
107/10/16,9,29,3.30,3.30,3.13,3.13,0.04,2
107/10/17,23,74,3.30,3.30,3.09,3.09,-0.04,10
107/10/18,5,16,3.19,3.19,3.19,3.19,0.1,1
107/10/19,36,106,2.96,3.08,2.96,2.96,-0.23,14
107/10/22,22,64,3.18,3.18,2.90,2.90,-0.06,6
107/10/23,95,260,3.00,3.00,2.71,2.72,-0.18,20
107/10/24,60,168,2.80,2.80,2.80,2.80,0.08,6
107/10/25,120,310,2.88,2.88,2.52,2.52,-0.28,13
107/10/26,3,8,2.52,2.66,2.52,2.66,0.14,3
107/10/29,0,0,--,--,--,--,0.0,0
107/10/30,0,0,--,--,--,--,0.0,0
107/10/31,1,2,--,--,--,--,0.0,2
107/11/01,0,0,--,--,--,--,0.0,0
107/11/02,10,28,2.70,2.80,2.70,2.80,0.14,4
107/11/05,10,29,2.85,2.85,2.85,2.85,0.05,5
107/11/06,1,3,3.02,3.02,3.02,3.02,0.17,1
107/11/07,0,0,--,--,--,--,0.0,0
107/11/08,25,76,3.00,3.00,3.00,3.00,-0.02,5
107/11/09,0,0,--,--,--,--,0.0,0
107/11/12,0,0,--,--,--,--,0.0,0
107/11/13,0,0,--,--,--,--,0.0,0
107/11/14,0,1,--,--,--,--,0.0,1
107/11/15,4,12,3.00,3.00,3.00,3.00,0.0,1
