date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,4,117,28.80,28.80,28.50,28.70,-0.3,8
107/07/03,1,28,28.00,28.00,28.00,28.00,0.3,1
107/07/04,6,170,28.30,28.30,28.00,28.00,0.0,6
107/07/05,5,140,28.00,28.00,28.00,28.00,0.0,1
107/07/06,8,225,28.00,28.10,28.00,28.10,0.1,6
107/07/09,0,0,--,--,--,--,0.0,0
107/07/10,3,84,28.10,28.10,28.10,28.10,0.0,3
107/07/11,0,0,--,--,--,--,0.0,0
107/07/12,5,126,28.20,28.20,27.20,28.00,-0.1,5
107/07/13,2,56,28.00,28.00,28.00,28.00,0.0,2
107/07/16,3,84,27.90,27.90,27.90,27.90,-0.1,2
107/07/17,16,438,27.25,27.90,27.00,27.90,0.0,8
107/07/18,13,356,27.15,27.70,27.15,27.70,-0.2,5
107/07/19,3,82,27.25,27.60,27.25,27.60,-0.1,2
107/07/20,16,441,27.50,27.70,27.50,27.70,0.1,7
107/07/23,2,55,28.00,28.00,27.35,27.35,-0.35,2
107/07/24,16,439,27.50,27.50,27.40,27.50,0.15,7
107/07/25,4,110,27.50,27.70,27.50,27.70,0.2,4
107/07/26,18,503,27.70,28.00,27.70,28.00,0.3,7
107/07/27,9,248,27.90,28.00,27.15,28.00,0.0,6
107/07/30,4,110,27.50,27.50,27.50,27.50,-0.5,2
107/07/31,11,306,27.70,27.90,27.70,27.90,0.4,6
107/08/01,4,109,27.20,27.50,27.20,27.50,-0.4,2
107/08/02,2,46,27.80,27.80,27.80,27.80,0.3,2
107/08/03,1,28,28.00,28.00,28.00,28.00,0.2,1
107/08/06,5,140,28.00,28.00,28.00,28.00,0.0,2
107/08/07,9,250,27.80,27.80,27.80,27.80,-0.2,5
107/08/08,7,195,27.80,27.80,27.80,27.80,0.0,5
107/08/09,9,252,27.60,27.80,27.60,27.80,0.0,6
107/08/10,11,305,27.60,27.80,27.60,27.80,0.0,4
107/08/13,6,165,27.20,27.70,27.20,27.30,-0.5,4
107/08/14,11,302,27.70,27.70,27.20,27.60,0.3,9
107/08/15,3,83,27.60,27.60,27.60,27.60,0.0,2
107/08/16,19,519,27.00,27.50,27.00,27.50,-0.1,11
107/08/17,27,740,27.50,27.60,27.10,27.50,0.0,14
107/08/20,5,137,27.50,27.50,27.25,27.30,-0.2,5
107/08/21,15,411,27.25,27.50,27.25,27.50,0.2,7
107/08/22,3,83,27.50,27.90,27.50,27.50,0.0,3
107/08/23,7,193,27.50,27.50,27.50,27.50,0.0,3
107/08/24,3,82,27.30,27.50,27.30,27.50,0.0,3
107/08/27,26,715,27.50,27.60,27.50,27.60,0.1,8
107/08/28,8,220,27.65,27.65,27.10,27.50,-0.1,5
107/08/29,20,543,27.50,27.50,27.10,27.30,-0.2,13
107/08/30,13,355,27.20,27.40,27.20,27.30,0.0,7
107/08/31,9,246,27.50,27.50,27.30,27.30,0.0,3
107/09/03,3,82,27.30,27.30,27.10,27.10,-0.2,3
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,28,754,26.30,27.40,26.30,27.30,0.2,15
107/09/06,6,163,27.50,27.50,27.00,27.00,-0.3,5
107/09/07,4,108,27.20,27.40,26.30,27.40,0.4,3
107/09/10,2,54,26.50,27.10,26.50,27.10,-0.3,2
107/09/11,5,133,26.50,26.50,26.50,26.50,-0.6,1
107/09/12,17,462,27.10,27.20,27.10,27.20,0.7,5
107/09/13,7,187,27.30,27.30,26.40,27.30,0.1,5
107/09/14,11,294,27.00,27.10,26.50,27.10,-0.2,10
107/09/17,5,136,27.10,27.10,27.10,27.10,0.0,3
107/09/18,13,348,27.10,27.10,26.40,27.10,0.0,10
107/09/19,2,54,27.20,27.20,27.20,27.20,0.1,1
107/09/20,11,298,27.20,27.20,27.00,27.10,-0.1,7
107/09/21,1,27,27.10,27.10,27.10,27.10,0.0,1
107/09/25,12,323,26.70,27.00,26.70,27.00,-0.1,4
107/09/26,1,27,27.00,27.00,27.00,27.00,0.0,1
107/09/27,6,160,26.70,27.00,26.50,27.00,0.0,6
107/09/28,2,43,27.00,27.00,27.00,27.00,0.0,2
107/10/01,2,53,26.10,27.10,26.10,27.10,0.1,2
107/10/02,1,27,27.00,27.00,27.00,27.00,-0.1,1
107/10/03,3,80,26.50,27.00,26.50,27.00,0.0,3
107/10/04,5,134,27.30,27.30,26.20,26.90,-0.1,5
107/10/05,1,27,27.00,27.00,27.00,27.00,0.1,1
107/10/08,1,27,27.00,27.00,27.00,27.00,0.0,1
107/10/09,2,54,26.90,26.90,26.90,26.90,-0.1,1
107/10/11,12,299,25.00,26.10,24.30,26.00,-0.9,11
107/10/12,5,131,25.45,26.90,25.45,26.90,0.9,4
107/10/15,1,27,26.80,26.80,26.80,26.80,-0.1,1
107/10/16,1,27,26.70,26.70,26.70,26.70,-0.1,1
107/10/17,1,27,26.70,26.70,26.70,26.70,0.0,1
107/10/18,2,53,26.50,26.50,26.50,26.50,-0.2,2
107/10/19,0,0,--,--,--,--,0.0,0
107/10/22,1,26,26.45,26.45,26.45,26.45,0.0,1
107/10/23,6,152,25.15,26.40,25.10,26.40,-0.05,3
107/10/24,17,423,24.80,26.20,24.70,26.20,-0.2,12
107/10/25,20,478,23.60,25.45,23.60,23.70,-2.5,17
107/10/26,3,73,24.50,24.50,23.95,24.50,0.8,3
107/10/29,6,147,24.45,24.50,24.45,24.50,0.0,4
107/10/30,3,73,24.00,24.25,24.00,24.25,-0.25,2
107/10/31,2,52,26.50,26.50,25.85,25.85,1.6,2
107/11/01,4,100,25.05,25.05,24.95,24.95,-0.9,3
107/11/02,1,27,26.50,26.50,26.50,26.50,1.55,1
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,0,0,--,--,--,--,0.0,0
107/11/07,2,52,25.85,25.85,25.85,25.85,-0.45,1
107/11/08,3,78,25.85,25.85,25.85,25.85,0.0,2
107/11/09,0,0,--,--,--,--,0.0,0
107/11/12,13,328,26.00,26.10,25.00,26.10,0.25,7
107/11/13,0,0,--,--,--,--,0.0,0
107/11/14,0,0,--,--,--,--,0.0,0
107/11/15,1,26,26.05,26.05,26.05,26.05,0.0,1
107/11/16,0,0,--,--,--,--,0.0,0
107/11/19,1,26,25.95,25.95,25.95,25.95,-0.1,1
107/11/20,4,103,25.95,25.95,25.60,25.60,-0.35,4
107/11/21,6,155,25.80,25.95,25.60,25.95,0.35,6
107/11/22,12,314,25.90,27.00,25.90,27.00,1.05,9
107/11/23,2,52,26.00,26.00,26.00,26.00,-1.0,2
107/11/26,0,0,--,--,--,--,0.0,0
107/11/27,0,0,--,--,--,--,0.0,0
107/11/28,0,0,--,--,--,--,0.0,0
107/11/29,2,52,25.95,26.00,25.95,26.00,0.0,2
107/11/30,0,0,--,--,--,--,0.0,0
107/12/03,6,157,25.85,27.00,25.85,26.20,0.2,4
107/12/04,0,0,--,--,--,--,0.0,0
107/12/05,3,78,26.60,26.60,25.70,25.70,-0.5,3
107/12/06,2,52,26.00,26.00,26.00,26.00,0.3,1
107/12/07,2,52,26.00,26.00,26.00,26.00,0.0,1
107/12/10,20,543,26.00,28.00,26.00,26.50,0.5,17
107/12/11,3,81,26.50,27.00,26.50,27.00,0.5,3
107/12/12,0,0,--,--,--,--,0.0,0
107/12/13,3,79,25.60,26.95,25.60,26.95,0.0,3
