date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"40,733","1,932,423",47.50,47.75,47.10,47.45,-0.55,28
107/07/03,"53,275","2,508,125",47.65,47.65,46.50,47.15,-0.30,46
107/07/04,"71,101","3,025,242",43.05,43.05,42.15,42.15,X0.00,48
107/07/05,"4,711","197,619",41.80,42.15,41.80,42.15, 0.00,6
107/07/06,"10,582","448,310",42.35,42.50,42.15,42.50,+0.35,13
107/07/09,"11,071","490,274",44.30,44.30,44.20,44.30,+1.80,13
107/07/10,"10,545","451,875",44.30,44.30,42.05,43.10,-1.20,9
107/07/11,"4,000","171,050",42.65,43.00,42.65,43.00,-0.10,4
107/07/12,"9,067","391,130",42.30,43.35,42.30,43.35,+0.35,11
107/07/13,"6,009","260,637",43.35,43.45,43.35,43.35, 0.00,8
107/07/16,80,"3,204",--,--,--,--, 0.00,1
107/07/17,0,0,--,--,--,--, 0.00,0
107/07/18,"46,313","2,081,990",44.00,45.80,43.70,45.80,X0.00,41
107/07/19,"4,066","179,916",44.25,44.50,44.05,44.50,-1.30,6
107/07/20,"5,000","221,800",44.50,44.50,44.10,44.40,-0.10,5
107/07/23,"1,099","43,960",--,--,--,--, 0.00,3
107/07/24,"10,158","447,884",44.30,44.30,44.05,44.05,X0.00,7
107/07/25,"14,102","633,457",44.40,45.00,44.40,45.00,+0.95,16
107/07/26,"207,299","9,015,886",45.00,45.00,43.00,43.60,-1.40,158
107/07/27,"114,720","4,948,353",43.25,43.50,43.00,43.50,-0.10,80
107/07/30,"119,113","5,183,151",43.70,43.70,43.00,43.70,+0.20,102
107/07/31,"113,241","4,954,032",43.70,43.75,43.70,43.75,+0.05,110
107/08/01,"104,842","4,580,810",43.75,43.90,43.60,43.60,-0.15,79
107/08/02,"118,009","5,162,341",43.75,45.00,43.70,43.75,+0.15,111
107/08/03,"8,130","356,644",43.80,43.90,43.75,43.90,+0.15,11
107/08/06,"103,632","4,540,308",43.90,45.00,43.75,43.95,+0.05,103
107/08/07,"129,024","5,636,698",43.95,44.20,42.00,43.95, 0.00,118
107/08/08,"122,908","5,416,091",43.95,45.00,43.95,44.50,+0.55,125
107/08/09,0,0,--,--,--,--, 0.00,0
107/08/10,"19,535","871,054",44.05,44.80,44.05,44.80,X0.00,11
107/08/13,"21,000","931,450",44.50,44.50,44.25,44.50,-0.30,14
107/08/14,"19,542","872,463",44.60,44.80,44.30,44.80,+0.30,14
107/08/15,464,"19,024",--,--,--,--, 0.00,1
107/08/16,"22,427","974,692",42.50,44.90,42.50,44.90,X0.00,28
107/08/17,"46,945","2,118,706",44.00,45.60,44.00,45.55,+0.65,27
107/08/20,"17,924","815,055",45.00,45.80,45.00,45.65,+0.10,21
107/08/21,"23,470","1,061,032",45.50,45.60,44.35,45.45,-0.20,25
107/08/22,"4,013","180,079",45.30,45.30,44.40,44.90,-0.55,6
107/08/23,"7,880","353,526",44.85,45.00,44.70,45.00,+0.10,9
107/08/24,600,"25,230",--,--,--,--, 0.00,1
107/08/27,"25,128","1,132,221",45.00,45.40,44.70,45.00,X0.00,21
107/08/28,"1,016","45,715",45.00,45.00,45.00,45.00, 0.00,2
107/08/29,"2,000","88,800",44.40,44.40,44.40,44.40,-0.60,2
107/08/30,"13,168","585,517",44.40,45.40,44.35,44.35,-0.05,11
107/08/31,"47,282","2,099,955",44.35,45.40,44.00,45.00,+0.65,13
107/09/03,"10,015","450,675",45.00,45.00,45.00,45.00, 0.00,11
107/09/04,"37,849","1,701,163",45.25,45.25,44.45,45.00, 0.00,22
107/09/05,"5,000","224,300",44.20,45.10,44.20,45.10,+0.10,4
107/09/06,"1,516","67,668",44.50,44.50,44.50,44.50,-0.60,2
107/09/07,216,"8,650",--,--,--,--, 0.00,1
107/09/10,"110,383","4,819,566",43.60,44.80,43.55,44.55,X0.00,111
107/09/11,"129,020","5,657,737",43.85,44.55,43.75,44.40,-0.15,100
107/09/12,"107,001","4,675,393",43.70,43.95,43.65,43.70,-0.70,88
107/09/13,"300,647","13,224,039",43.60,45.15,43.60,44.85,+1.15,130
107/09/14,"8,000","359,150",44.50,44.95,44.50,44.95,+0.10,6
107/09/17,0,0,--,--,--,--, 0.00,0
107/09/18,2,89,--,--,--,--, 0.00,1
107/09/19,"61,000","2,726,550",44.90,44.95,44.30,44.95,X0.00,61
107/09/20,"79,868","3,548,175",44.95,45.00,44.20,44.85,-0.10,75
107/09/21,"87,095","3,811,838",44.15,44.80,43.10,44.40,-0.45,75
107/09/25,"3,174","139,520",43.80,44.05,43.80,44.05,-0.35,6
107/09/26,"17,268","777,256",44.90,45.10,44.90,45.10,+1.05,13
107/09/27,"110,000","4,867,300",45.10,45.10,44.15,44.15,-0.95,25
107/09/28,"132,000","5,821,950",44.25,44.40,43.55,43.55,-0.60,33
107/10/01,"106,066","4,617,471",43.55,43.55,43.50,43.50,-0.05,11
107/10/02,"124,464","5,426,108",43.55,44.50,43.50,44.45,+0.95,19
107/10/03,"210,557","9,147,927",43.65,43.65,43.10,43.25,-1.20,73
107/10/04,"124,001","5,369,393",43.30,43.40,43.25,43.35,+0.10,14
107/10/05,"134,136","5,780,098",42.55,43.30,42.55,43.30,-0.05,18
107/10/08,"61,076","2,651,268",43.30,43.95,43.30,43.95,+0.65,17
107/10/09,"137,189","5,980,860",43.50,44.80,43.45,44.75,+0.80,23
107/10/11,"162,117","7,040,960",43.45,43.50,43.40,43.50,-1.25,10
107/10/12,"196,666","8,433,853",39.70,44.15,39.70,43.15,-0.35,85
107/10/15,"22,024","930,300",43.35,43.35,42.00,42.00,-1.15,24
107/10/16,"4,223","176,215",42.25,42.25,41.30,41.30,-0.70,5
107/10/17,"1,010","42,319",41.90,41.90,41.90,41.90,+0.60,2
107/10/18,"29,004","1,162,156",41.05,41.05,39.55,39.55,-2.35,31
107/10/19,"9,183","370,015",40.00,41.70,39.90,39.90,+0.35,10
107/10/22,"7,000","285,950",40.85,40.85,40.85,40.85,+0.95,4
107/10/23,"4,222","171,318",40.50,40.65,40.50,40.65,-0.20,5
107/10/24,"15,041","605,364",40.55,40.55,40.00,40.25,-0.40,14
107/10/25,102,"4,095",--,--,--,--, 0.00,2
107/10/26,"12,000","482,700",40.40,40.40,40.00,40.20,X0.00,9
107/10/29,"35,172","1,444,453",41.00,41.75,41.00,41.55,+1.35,8
107/10/30,"57,050","2,261,920",40.55,40.55,39.00,39.65,-1.90,58
107/10/31,"3,435","138,416",40.10,40.70,40.00,40.70,+1.05,9
107/11/01,"2,001","81,190",40.10,41.05,40.10,41.05,+0.35,3
107/11/02,1,40,--,--,--,--, 0.00,1
107/11/05,"5,001","201,040",40.10,40.30,40.10,40.20,X0.00,6
107/11/06,"7,001","281,440",40.20,40.20,40.20,40.20, 0.00,2
107/11/07,"1,056","43,017",40.75,40.75,40.75,40.75,+0.55,4
107/11/08,"3,037","123,505",40.80,40.80,40.50,40.50,-0.25,6
107/11/09,"4,200","171,390",40.55,40.90,40.55,40.90,+0.40,5
107/11/12,"11,283","464,203",40.65,41.20,40.65,41.20,+0.30,10
107/11/13,"2,000","81,000",40.50,40.50,40.50,40.50,-0.70,2
107/11/14,0,0,--,--,--,--, 0.00,0
107/11/15,1,40,--,--,--,--, 0.00,1
107/11/16,"7,050","293,166",41.00,42.00,41.00,42.00,X0.00,9
107/11/19,"3,066","130,235",42.50,42.50,42.45,42.45,+0.45,4
107/11/20,"4,000","168,750",42.70,42.70,41.65,41.70,-0.75,4
107/11/21,"5,637","237,408",41.65,42.70,41.65,42.70,+1.00,7
107/11/22,"9,750","418,325",43.00,43.00,42.50,43.00,+0.30,8
107/11/23,502,"21,934",--,--,--,--, 0.00,5
107/11/26,"37,186","1,587,034",42.70,42.70,42.65,42.70,X0.00,34
107/11/27,"107,000","4,568,200",42.70,42.70,42.00,42.00,-0.70,20
107/11/28,"2,008,731","85,773,005",42.70,42.80,42.65,42.65,+0.65,23
107/11/29,"195,463","8,348,293",42.70,43.30,42.70,43.00,+0.35,11
107/11/30,"244,000","10,420,100",42.70,44.15,41.80,41.80,-1.20,32
107/12/03,"268,050","11,387,038",41.65,42.80,41.65,41.90,+0.10,34
107/12/04,"274,000","11,585,100",41.90,42.50,41.80,41.90, 0.00,35
107/12/05,"169,001","7,115,742",42.10,42.25,42.00,42.00,+0.10,13
107/12/06,"25,567","1,025,296",41.70,41.70,39.75,39.75,-2.25,27
107/12/07,"17,000","693,250",40.25,41.00,40.25,41.00,+1.25,12
107/12/10,"313,552","13,152,608",41.55,42.30,41.55,41.80,+0.80,22
107/12/11,"302,001","12,670,891",41.90,42.60,41.90,42.00,+0.20,22
107/12/12,"581,801","24,367,366",41.85,41.95,41.80,41.90,-0.10,58
107/12/13,"296,002","12,412,584",41.90,42.00,41.90,41.95,+0.05,41
107/12/14,"286,378","12,011,851",41.90,42.70,41.90,42.50,+0.55,51
107/12/17,"257,763","10,811,775",41.95,42.80,41.90,42.80,+0.30,31
107/12/18,"251,001","10,542,592",42.00,42.20,42.00,42.20,-0.60,21
107/12/19,"336,300","14,128,908",42.00,42.05,41.70,42.00,-0.20,85
107/12/20,"335,875","14,231,886",42.00,44.00,42.00,43.65,+1.65,92
107/12/21,"312,221","13,491,307",42.90,44.00,42.90,44.00,+0.35,71
107/12/22,"11,001","475,643",43.20,43.25,43.20,43.25,-0.75,7
107/12/24,"8,003","351,582",43.65,44.35,43.15,43.95,+0.70,10
107/12/25,"283,004","12,157,122",43.50,43.50,42.75,42.75,-1.20,27
107/12/26,"254,001","10,909,492",43.00,43.00,42.95,42.95,+0.20,17
107/12/27,"121,258","5,218,696",42.95,43.75,42.90,43.70,+0.75,18
107/12/28,"70,516","3,128,563",43.70,45.00,43.05,45.00,+1.30,47
108/01/02,3,135,--,--,--,--, 0.00,3
108/01/03,"427,000","18,341,450",43.45,43.45,42.95,43.30,X0.00,18
108/01/04,"408,140","17,532,370",43.20,43.25,42.95,43.25,-0.05,30
108/01/07,"282,640","12,154,982",43.20,43.45,43.00,43.45,+0.20,25
108/01/08,"301,001","12,912,942",42.90,42.90,42.90,42.90,-0.55,36
108/01/09,"399,058","17,134,423",42.90,43.90,42.90,43.90,+1.00,21
108/01/10,"614,250","26,367,075",43.95,43.95,42.90,43.00,-0.90,74
108/01/11,"387,000","16,622,850",43.35,43.35,42.95,42.95,-0.05,34
108/01/14,"400,008","17,180,489",42.95,43.00,42.95,42.95, 0.00,39
108/01/15,"305,855","13,093,637",42.80,43.40,42.80,42.80,-0.15,37
108/01/16,"437,179","18,734,776",42.90,43.00,42.00,42.25,-0.55,62
108/01/17,"505,868","21,548,056",42.60,42.60,42.25,42.25, 0.00,24
108/01/18,"507,200","21,605,319",42.60,42.60,42.35,42.35,+0.10,20
108/01/21,"356,001","15,128,241",42.50,42.50,42.15,42.15,-0.20,18
108/01/22,"305,441","12,982,092",42.40,42.60,42.40,42.50,+0.35,25
108/01/23,25,"1,043",--,--,--,--, 0.00,2
108/01/24,"2,000","84,300",42.15,42.15,42.15,42.15,X0.00,2
108/01/25,"9,078","384,790",42.20,42.50,42.15,42.50,+0.35,14
108/01/28,"9,118","382,715",42.00,42.05,42.00,42.00,-0.50,17
108/01/29,"20,251","849,441",42.00,42.00,41.90,41.90,-0.10,20
108/01/30,"5,034","210,963",41.95,41.95,41.90,41.90, 0.00,5
108/02/11,"10,150","425,284",41.90,41.90,41.90,41.90, 0.00,12
