date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,15,236,16.00,16.00,15.40,15.40,0.15,15
107/07/03,5,77,15.40,15.50,15.40,15.50,0.1,4
107/07/04,1,15,15.35,15.35,15.35,15.35,-0.15,2
107/07/05,1,15,15.35,15.35,15.35,15.35,0.0,2
107/07/06,0,0,--,--,--,--,0.0,0
107/07/09,0,0,--,--,--,--,0.0,0
107/07/10,0,0,--,--,--,--,0.0,0
107/07/11,0,0,--,--,--,--,0.0,0
107/07/12,0,0,--,--,--,--,0.0,0
107/07/13,2,30,15.35,15.35,15.05,15.05,-0.25,3
107/07/16,1,15,15.40,15.40,15.40,15.40,0.35,1
107/07/17,3,46,15.40,15.40,15.25,15.25,-0.15,3
107/07/18,1,15,15.05,15.05,15.05,15.05,-0.2,2
107/07/19,0,0,--,--,--,--,0.0,0
107/07/20,2,30,15.20,15.25,15.20,15.25,-0.15,2
107/07/23,3,46,15.25,15.50,15.25,15.50,0.25,4
107/07/24,0,0,--,--,--,--,0.0,0
107/07/25,1,16,15.50,15.50,15.50,15.50,0.0,1
107/07/26,0,0,--,--,--,--,0.0,0
107/07/27,1,16,15.50,15.50,15.50,15.50,0.0,1
107/07/30,0,5,--,--,--,--,0.0,2
107/07/31,4,64,15.50,15.50,15.50,15.50,0.0,7
107/08/01,2,31,15.60,15.60,15.60,15.60,0.1,2
107/08/02,1,20,15.75,15.75,15.75,15.75,0.15,7
107/08/03,0,2,--,--,--,--,0.0,5
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,0,0,--,--,--,--,0.0,0
107/08/08,0,0,--,--,--,--,0.0,0
107/08/09,0,0,--,--,--,--,0.0,0
107/08/10,0,0,--,--,--,--,0.0,0
107/08/13,0,0,--,--,--,--,0.0,0
107/08/14,0,0,--,--,--,--,0.0,0
107/08/15,1,16,15.50,15.50,15.50,15.50,0.0,2
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,14,217,15.50,15.55,15.50,15.50,0.0,5
107/08/20,6,90,15.00,15.15,14.95,15.15,-0.35,5
107/08/21,2,32,15.15,15.25,15.15,15.25,0.1,4
107/08/22,2,33,15.05,15.05,15.05,15.05,-0.2,3
107/08/23,2,35,15.00,15.00,15.00,15.00,-0.05,7
107/08/24,0,0,--,--,--,--,0.0,0
107/08/27,3,46,15.10,15.30,15.10,15.30,0.2,3
107/08/28,0,0,--,--,--,--,0.0,0
107/08/29,1,15,15.30,15.30,15.30,15.30,0.0,1
107/08/30,3,46,15.30,15.30,15.30,15.30,0.0,1
107/08/31,0,0,--,--,--,--,0.0,0
107/09/03,1,15,15.30,15.30,15.30,15.30,0.0,1
107/09/04,1,15,15.05,15.05,15.05,15.05,-0.25,1
107/09/05,1,15,15.05,15.05,15.05,15.05,0.0,1
107/09/06,1,15,15.05,15.05,15.05,15.05,0.0,6
107/09/07,15,225,15.10,15.10,14.95,15.00,-0.05,9
107/09/10,7,105,14.90,15.05,14.90,15.00,0.0,6
107/09/11,1,15,15.05,15.05,15.05,15.05,0.05,5
107/09/12,0,0,--,--,--,--,0.0,1
107/09/13,0,2,--,--,--,--,0.0,2
107/09/14,2,30,15.05,15.05,15.05,15.05,0.0,1
107/09/17,0,0,--,--,--,--,0.0,0
107/09/18,0,0,--,--,--,--,0.0,0
107/09/19,3,45,15.05,15.05,15.05,15.05,0.0,3
107/09/20,6,90,15.05,15.05,15.05,15.05,0.0,2
107/09/21,7,106,15.10,15.10,15.05,15.05,0.0,5
107/09/25,11,167,15.05,15.20,15.05,15.20,0.15,5
107/09/26,1,15,15.20,15.20,15.20,15.20,0.0,1
107/09/27,0,0,--,--,--,--,0.0,0
107/09/28,9,136,15.10,15.10,15.10,15.10,-0.1,3
107/10/01,9,139,15.10,15.10,15.10,15.10,0.0,4
107/10/02,12,181,15.10,15.10,15.10,15.10,0.0,9
107/10/03,10,151,15.10,15.10,15.10,15.10,0.0,11
107/10/04,9,136,15.10,15.10,15.10,15.10,0.0,7
107/10/05,9,136,15.10,15.15,15.10,15.10,0.0,4
107/10/08,7,105,15.15,15.15,15.00,15.00,-0.1,6
107/10/09,9,135,15.00,15.15,15.00,15.15,0.15,6
107/10/11,21,305,14.90,14.90,14.40,14.40,-0.75,20
107/10/12,6,91,14.50,14.70,14.50,14.65,0.25,6
107/10/15,1,15,14.95,14.95,14.95,14.95,0.3,2
107/10/16,3,45,14.70,14.90,14.70,14.90,-0.05,2
107/10/17,1,17,14.90,14.90,14.90,14.90,0.0,4
107/10/18,0,0,--,--,--,--,0.0,0
107/10/19,0,0,--,--,--,--,0.0,0
107/10/22,0,0,--,--,--,--,0.0,0
107/10/23,0,0,--,--,--,--,0.0,3
107/10/24,1,17,15.00,15.00,15.00,15.00,0.1,3
107/10/25,7,104,14.60,14.95,14.50,14.95,-0.05,7
107/10/26,1,15,14.60,14.60,14.60,14.60,-0.35,1
107/10/29,1,15,14.55,14.55,14.55,14.55,-0.05,1
107/10/30,1,15,14.75,14.75,14.75,14.75,0.2,1
107/10/31,3,44,14.75,14.75,14.75,14.75,0.0,2
107/11/01,0,0,--,--,--,--,0.0,0
107/11/02,2,30,14.75,14.75,14.75,14.75,0.0,1
107/11/05,1,15,14.75,14.75,14.75,14.75,0.0,2
107/11/06,3,44,14.75,14.85,14.60,14.60,-0.15,3
107/11/07,3,44,14.60,14.75,14.60,14.75,0.15,4
107/11/08,2,30,14.75,14.75,14.75,14.75,0.0,3
107/11/09,3,44,14.55,14.55,14.55,14.55,-0.2,1
107/11/12,0,0,--,--,--,--,0.0,1
107/11/13,2,30,14.65,14.95,14.65,14.95,0.35,3
107/11/14,11,162,14.65,14.80,14.65,14.75,-0.2,9
107/11/15,12,175,14.70,14.70,14.45,14.65,-0.1,10
107/11/16,1,15,14.65,14.65,14.65,14.65,0.0,1
107/11/19,1,15,14.60,14.60,14.60,14.60,-0.05,1
107/11/20,4,60,14.55,14.90,14.50,14.90,0.3,5
107/11/21,2,30,14.75,14.75,14.75,14.75,-0.15,2
107/11/22,0,0,--,--,--,--,0.0,0
107/11/23,1,15,14.65,14.65,14.65,14.65,0.0,1
107/11/26,2,30,14.80,14.80,14.70,14.70,0.05,2
107/11/27,1,15,14.70,14.70,14.70,14.70,0.0,2
107/11/28,2,30,15.10,15.10,15.00,15.00,0.3,2
107/11/29,1,15,14.95,14.95,14.95,14.95,-0.05,2
107/11/30,0,0,--,--,--,--,0.0,0
107/12/03,5,73,14.65,14.65,14.45,14.65,-0.05,4
107/12/04,8,116,14.50,14.60,14.50,14.60,-0.05,17
107/12/05,3,38,14.75,14.75,14.60,14.60,0.0,6
107/12/06,1,17,14.65,14.65,14.65,14.65,0.05,3
107/12/07,3,44,14.65,14.65,14.65,14.65,0.0,2
107/12/10,2,29,14.50,14.65,14.50,14.65,0.0,2
107/12/11,1,15,14.65,14.65,14.65,14.65,0.0,1
107/12/12,3,44,14.65,14.65,14.60,14.65,0.0,7
107/12/13,1,15,14.70,14.70,14.70,14.70,0.05,1
107/12/14,0,0,--,--,--,--,0.0,0
107/12/17,8,115,14.65,14.65,14.20,14.45,-0.2,5
107/12/18,7,100,14.45,14.45,14.30,14.30,-0.15,6
107/12/19,17,242,14.45,14.45,14.10,14.15,-0.15,18
107/12/20,12,170,14.40,14.40,14.10,14.10,-0.05,24
107/12/21,9,126,14.10,14.10,14.00,14.00,-0.1,8
107/12/22,3,42,14.10,14.10,14.00,14.00,0.0,3
107/12/24,7,101,14.15,14.20,14.15,14.15,0.15,7
107/12/25,3,42,14.00,14.10,14.00,14.10,-0.05,3
107/12/26,1,14,14.15,14.15,14.15,14.15,0.05,4
107/12/27,3,43,14.20,14.20,14.20,14.20,0.05,2
107/12/28,2,28,14.15,14.20,14.15,14.20,0.0,2
108/01/02,0,0,--,--,--,--,0.0,0
108/01/03,2,28,14.10,14.10,14.10,14.10,-0.1,4
108/01/04,10,140,14.05,14.05,14.00,14.00,-0.1,12
108/01/07,13,183,14.05,14.10,14.05,14.10,0.1,16
108/01/08,3,43,14.20,14.20,14.20,14.20,0.1,3
108/01/09,6,85,14.05,14.20,14.05,14.20,0.0,4
108/01/10,0,0,--,--,--,--,0.0,0
108/01/11,0,0,--,--,--,--,0.0,1
108/01/14,0,0,--,--,--,--,0.0,2
108/01/15,0,0,--,--,--,--,0.0,1
108/01/16,0,0,--,--,--,--,0.0,1
108/01/17,1,14,14.30,14.30,14.30,14.30,0.1,2
108/01/18,5,70,14.00,14.10,14.00,14.10,-0.2,6
108/01/21,0,0,--,--,--,--,0.0,0
108/01/22,1,14,14.10,14.10,14.10,14.10,0.0,1
108/01/23,0,0,--,--,--,--,0.0,2
108/01/24,0,0,--,--,--,--,0.0,4
108/01/25,3,42,14.05,14.10,14.05,14.10,0.0,13
108/01/28,1,14,14.20,14.20,14.20,14.20,0.1,10
108/01/29,7,99,14.10,14.20,14.10,14.20,0.0,8
108/01/30,1,14,14.20,14.20,14.20,14.20,0.0,1
108/02/11,0,3,--,--,--,--,0.0,5
108/02/12,11,155,14.10,14.20,14.05,14.20,0.0,8
108/02/13,8,113,14.10,14.10,14.10,14.10,-0.1,4
108/02/14,0,0,--,--,--,--,0.0,1
108/02/15,4,56,14.05,14.05,14.00,14.05,-0.05,5
108/02/18,3,42,14.10,14.10,14.10,14.10,0.05,3
108/02/19,3,45,14.15,14.20,14.15,14.20,0.1,4
108/02/20,2,28,14.15,14.15,14.15,14.15,-0.05,3
108/02/21,3,43,14.20,14.20,14.20,14.20,0.05,8
108/02/22,2,28,14.15,14.15,14.15,14.15,-0.05,3
108/02/25,9,128,14.15,14.25,14.15,14.25,0.1,7
108/02/26,32,470,14.30,15.00,14.30,15.00,0.75,31
108/02/27,6,89,14.90,14.90,14.75,14.85,-0.15,10
108/03/04,10,149,14.80,15.00,14.80,14.95,0.1,11
108/03/05,2,30,14.95,14.95,14.80,14.80,-0.15,3
108/03/06,2,30,14.95,14.95,14.80,14.80,0.0,2
108/03/07,25,373,14.80,14.85,14.80,14.80,0.0,16
108/03/08,0,0,--,--,--,--,0.0,4
