date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,37,111,3.01,3.02,3.01,3.01,-0.19,12
107/07/03,0,0,--,--,--,--,0.0,2
107/07/04,20,63,3.10,3.10,3.10,3.10,0.09,6
107/07/05,1,3,3.10,3.10,3.10,3.10,0.0,2
107/07/06,2,6,3.00,3.00,3.00,3.00,-0.1,4
107/07/09,5,16,3.09,3.10,3.09,3.10,0.1,6
107/07/10,0,0,--,--,--,--,0.0,0
107/07/11,0,0,--,--,--,--,0.0,0
107/07/12,34,104,3.09,3.10,3.09,3.10,0.0,9
107/07/13,9,28,3.10,3.10,3.00,3.00,-0.1,3
107/07/16,11,33,3.00,3.00,2.91,2.91,-0.09,5
107/07/17,0,0,--,--,--,--,0.0,0
107/07/18,3,9,3.00,3.00,3.00,3.00,0.09,2
107/07/19,21,60,2.88,2.88,2.86,2.86,-0.14,7
107/07/20,50,135,2.71,2.71,2.70,2.70,-0.16,11
107/07/23,0,0,--,--,--,--,0.0,1
107/07/24,5,14,2.79,2.79,2.75,2.75,0.04,2
107/07/25,10,28,2.75,2.75,2.75,2.75,0.0,4
107/07/26,3,8,2.80,2.80,2.80,2.80,0.05,1
107/07/27,32,90,2.80,3.05,2.80,3.05,0.25,3
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,1,3,2.77,2.77,2.77,2.77,-0.28,1
107/08/02,7,19,2.77,2.77,2.68,2.70,-0.07,5
107/08/03,2,6,2.75,2.75,2.75,2.75,0.05,2
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,14,41,2.90,2.90,2.90,2.90,0.13,4
107/08/08,0,0,--,--,--,--,0.0,0
107/08/09,4,11,2.77,2.77,2.77,2.77,-0.13,1
107/08/10,15,44,2.68,2.98,2.68,2.98,0.21,11
107/08/13,5,16,3.17,3.17,3.17,3.17,0.19,8
107/08/14,4,12,3.10,3.10,3.10,3.10,-0.07,4
107/08/15,6,19,3.10,3.10,3.08,3.08,-0.02,3
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,5,15,2.89,3.00,2.89,3.00,-0.08,8
107/08/20,0,0,--,--,--,--,0.0,0
107/08/21,0,0,--,--,--,--,0.0,0
107/08/22,0,0,--,--,--,--,0.0,1
107/08/23,5,15,2.90,2.90,2.90,2.90,-0.06,1
107/08/24,18,51,2.80,2.90,2.80,2.90,0.0,6
107/08/27,2,7,2.80,2.80,2.80,2.80,-0.1,4
107/08/28,0,0,--,--,--,--,0.0,1
107/08/29,6,17,3.00,3.00,2.80,2.80,0.0,3
107/08/30,5,14,2.99,2.99,2.80,2.80,0.0,6
107/08/31,34,87,2.52,2.70,2.52,2.70,-0.1,12
107/09/03,40,107,2.70,2.70,2.60,2.60,-0.1,17
107/09/04,11,29,2.61,2.70,2.61,2.70,0.1,4
107/09/05,0,0,--,--,--,--,0.0,2
107/09/06,12,33,2.70,2.85,2.70,2.84,0.14,5
