date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,22,"1,534",69.50,70.00,69.00,69.50,0.1,16
107/07/03,14,975,70.10,70.10,68.10,69.10,-0.4,10
107/07/04,11,758,69.50,69.50,68.10,68.20,-0.9,7
107/07/05,28,"1,878",67.30,68.20,67.30,67.80,-0.4,20
107/07/06,33,"2,211",67.10,67.60,66.00,67.60,-0.2,25
107/07/09,10,701,68.50,68.50,67.50,67.90,0.3,9
107/07/10,8,543,68.00,68.00,67.20,67.80,-0.1,3
107/07/11,22,"1,481",68.30,68.30,66.50,67.00,-0.8,13
107/07/12,11,743,68.00,68.00,67.00,67.00,0.0,5
107/07/13,4,269,67.00,67.80,67.00,67.20,0.2,4
107/07/16,15,"1,012",67.40,67.80,67.40,67.50,0.3,7
107/07/17,7,477,68.50,68.50,67.20,67.20,-0.3,6
107/07/18,6,413,67.30,67.40,67.30,67.40,0.2,8
107/07/19,11,743,67.70,67.70,67.00,67.00,-0.4,11
107/07/20,9,603,67.00,67.00,66.60,66.60,-0.4,8
107/07/23,26,"1,712",66.50,66.50,66.20,66.20,-0.4,15
107/07/24,16,"1,074",66.20,66.50,66.20,66.50,0.3,13
107/07/25,5,331,66.70,66.70,66.10,66.10,-0.4,5
107/07/26,10,666,66.30,66.80,66.30,66.80,0.7,9
107/07/27,10,637,66.90,66.90,66.80,66.90,0.1,13
107/07/30,20,"1,357",66.60,67.90,66.60,67.40,0.5,20
107/07/31,1,78,67.50,67.50,67.50,67.50,0.1,4
107/08/01,31,"2,141",67.50,69.80,67.50,69.40,1.9,33
107/08/02,30,"2,080",70.90,70.90,68.40,68.90,-0.5,25
107/08/03,30,"2,064",68.50,69.50,68.50,69.50,0.6,22
107/08/06,19,"1,332",69.80,70.20,69.70,70.20,0.7,18
107/08/07,28,"1,998",71.10,71.20,70.00,70.10,-0.1,28
107/08/08,25,"1,778",71.20,71.20,70.20,70.70,0.6,27
107/08/09,23,"1,632",70.30,70.90,70.20,70.90,0.2,20
107/08/10,70,"4,985",70.90,71.50,70.50,71.40,0.5,47
107/08/13,103,"7,286",71.40,71.60,70.30,71.40,0.0,74
107/08/14,175,"12,605",71.80,73.00,71.10,72.80,1.4,144
107/08/15,69,"4,264",63.80,63.80,60.00,61.20,-3.6,60
107/08/16,29,"1,755",60.40,60.40,60.00,60.30,-0.9,30
107/08/17,15,920,61.20,61.20,59.50,59.50,-0.8,19
107/08/20,13,764,59.50,59.50,58.10,58.10,-1.4,12
107/08/21,16,915,58.00,58.00,57.00,57.30,-0.8,16
107/08/22,6,345,57.00,57.80,57.00,57.50,0.2,6
107/08/23,0,7,--,--,--,--,0.0,3
107/08/24,10,562,56.70,56.70,56.10,56.50,-1.0,9
107/08/27,7,398,56.10,57.80,56.00,57.80,1.3,7
107/08/28,2,117,59.00,59.00,57.80,57.80,0.0,2
107/08/29,3,180,58.00,58.50,57.80,57.80,0.0,4
107/08/30,5,288,57.80,57.80,57.20,57.20,-0.6,5
107/08/31,3,180,56.60,56.60,56.30,56.30,-0.9,4
107/09/03,49,"2,752",56.30,56.30,56.00,56.00,-0.3,18
107/09/04,1,56,56.00,56.00,56.00,56.00,0.0,1
107/09/05,5,291,56.00,56.90,56.00,56.90,0.9,6
107/09/06,0,0,--,--,--,--,0.0,0
107/09/07,15,839,56.20,56.20,54.90,55.00,-1.8,11
107/09/10,9,509,54.10,54.10,54.00,54.00,-1.0,12
107/09/11,2,108,54.00,54.00,54.00,54.00,0.0,2
107/09/12,3,188,55.00,55.00,55.00,55.00,1.0,5
107/09/13,4,220,55.00,55.00,55.00,55.00,0.0,4
107/09/14,4,220,55.00,55.00,55.00,55.00,0.0,3
107/09/17,22,"1,235",55.00,57.00,55.00,55.60,0.6,14
107/09/18,81,"4,593",56.50,57.00,56.50,57.00,1.4,22
107/09/19,28,"1,651",59.30,59.50,58.40,59.00,2.0,19
107/09/20,19,"1,131",59.40,59.80,58.50,58.50,-0.5,18
107/09/21,4,234,58.50,58.50,58.40,58.40,-0.1,4
107/09/25,19,"1,115",58.80,58.80,57.80,57.80,-0.6,24
107/09/26,15,876,57.80,58.20,57.80,58.20,0.4,20
107/09/27,20,"1,022",50.40,51.40,50.40,51.30,-1.6,24
107/09/28,11,565,51.30,51.50,51.30,51.50,0.2,10
107/10/01,3,154,51.50,51.50,51.30,51.50,0.0,3
107/10/02,6,308,51.50,51.50,51.30,51.30,-0.2,4
107/10/03,4,205,51.40,51.40,51.20,51.30,0.0,4
107/10/04,1,53,52.50,52.50,52.50,52.50,1.2,1
107/10/05,2,104,51.90,51.90,51.70,51.70,-0.8,2
107/10/08,13,656,50.30,51.20,50.00,51.20,-0.5,12
107/10/09,9,448,49.10,51.00,49.10,51.00,-0.2,8
107/10/11,26,"1,272",52.50,54.00,48.00,48.00,-3.0,23
107/10/12,6,296,49.40,50.00,48.85,48.90,0.9,6
107/10/15,0,0,--,--,--,--,0.0,0
107/10/16,9,424,46.05,49.45,46.00,47.15,-1.75,8
107/10/17,2,99,46.00,48.70,46.00,48.70,1.55,3
107/10/18,27,"1,208",46.05,46.70,45.10,45.20,-3.5,28
107/10/19,5,243,45.00,45.00,44.90,44.90,-0.3,6
107/10/22,3,145,44.80,44.80,44.70,44.70,-0.2,4
107/10/23,18,807,46.00,48.30,43.85,44.05,-0.65,19
107/10/24,18,765,41.40,44.60,41.40,44.40,0.35,17
107/10/25,38,"1,568",41.20,42.50,40.35,42.20,-2.2,36
107/10/26,5,213,42.20,43.45,42.00,42.00,-0.2,5
107/10/29,21,918,40.15,44.40,40.15,43.90,1.9,21
107/10/30,3,132,44.00,44.00,44.00,44.00,0.1,3
107/10/31,2,90,45.20,45.20,45.00,45.00,1.0,2
107/11/01,3,137,45.80,45.80,45.55,45.55,0.55,3
107/11/02,6,274,46.00,46.00,45.00,45.80,0.25,6
107/11/05,0,0,--,--,--,--,0.0,0
107/11/06,3,141,45.80,45.80,45.80,45.80,0.0,4
107/11/07,10,470,44.15,46.00,44.15,46.00,0.2,11
107/11/08,15,671,45.00,46.00,45.00,46.00,0.0,20
107/11/09,6,256,44.55,45.45,44.10,44.55,-1.45,11
107/11/12,7,295,44.45,45.35,44.45,44.95,0.4,11
107/11/13,3,144,44.95,44.95,44.95,44.95,0.0,4
107/11/14,13,578,44.95,44.95,42.20,44.00,-0.95,15
107/11/15,9,402,45.00,45.00,43.20,44.80,0.8,12
107/11/16,10,466,44.90,44.90,44.00,44.90,0.1,14
107/11/19,5,232,44.50,44.50,44.50,44.50,-0.4,6
107/11/20,1,49,45.00,45.00,45.00,45.00,0.5,2
107/11/21,28,"1,235",45.00,45.00,43.15,44.85,-0.15,22
107/11/22,4,169,43.50,44.95,43.50,44.10,-0.75,6
107/11/23,12,531,43.15,43.80,43.00,43.80,-0.3,14
107/11/26,18,780,42.05,44.90,42.05,44.85,1.05,18
107/11/27,5,235,46.00,46.00,46.00,46.00,1.15,5
107/11/28,20,864,43.40,44.80,42.80,44.80,-1.2,22
107/11/29,6,272,45.90,45.90,44.50,44.50,-0.3,8
107/11/30,19,826,43.15,44.15,43.15,43.70,-0.8,17
107/12/03,2,93,45.50,45.50,45.00,45.00,1.3,4
107/12/04,5,218,44.40,44.90,44.00,44.90,-0.1,6
107/12/05,4,176,43.05,44.55,43.05,44.40,-0.5,4
107/12/06,3,144,44.40,44.40,44.00,44.00,-0.4,4
107/12/07,4,176,44.05,44.05,44.00,44.00,0.0,4
107/12/10,1,45,44.80,44.80,44.80,44.80,0.8,1
107/12/11,1,45,44.80,44.80,44.80,44.80,0.0,1
107/12/12,6,258,44.90,44.90,43.55,44.75,-0.05,9
107/12/13,5,245,44.75,45.00,44.75,44.95,0.2,4
107/12/14,3,133,43.75,44.85,43.75,44.85,-0.1,3
107/12/17,0,0,--,--,--,--,0.0,0
107/12/18,1,49,45.00,45.00,45.00,45.00,0.2,2
107/12/19,0,0,--,--,--,--,0.0,0
107/12/20,1,45,44.95,44.95,44.95,44.95,-0.05,1
107/12/21,15,665,44.95,46.00,44.95,46.00,1.05,13
107/12/22,0,0,--,--,--,--,0.0,0
107/12/24,1,46,46.00,46.00,46.00,46.00,0.0,1
107/12/25,10,467,46.00,47.00,46.00,46.80,0.8,9
107/12/26,5,239,47.45,47.45,46.70,46.75,-0.05,6
107/12/27,13,595,45.20,46.70,45.15,45.55,-1.2,13
107/12/28,8,367,46.00,46.00,45.10,46.00,0.45,8
108/01/02,22,"1,035",47.20,47.50,46.00,46.75,0.75,9
108/01/03,7,332,47.50,47.50,46.85,46.85,0.1,3
108/01/04,2,94,47.20,47.20,47.20,47.20,0.35,1
108/01/07,6,285,47.10,47.10,47.00,47.00,-0.2,7
108/01/08,10,444,47.20,47.20,46.10,47.05,0.05,12
108/01/09,21,999,46.45,47.10,46.45,47.00,-0.05,22
108/01/10,20,916,47.00,47.20,46.75,46.85,-0.15,15
108/01/11,11,530,47.00,47.00,46.40,46.85,0.0,10
108/01/14,5,233,46.50,46.70,46.50,46.50,-0.35,4
108/01/15,42,"1,957",46.95,47.40,46.90,47.35,0.85,40
108/01/16,15,727,47.75,48.40,47.75,48.40,1.05,14
108/01/17,5,240,47.60,48.40,47.50,48.40,0.0,5
108/01/18,39,"1,868",48.40,48.80,48.00,48.80,0.4,25
108/01/21,137,"6,716",48.80,49.30,48.70,49.30,0.5,52
108/01/22,393,"19,211",48.75,50.00,48.10,50.00,0.7,96
108/01/23,10,505,49.60,50.00,49.60,50.00,0.0,10
108/01/24,18,874,50.20,50.20,49.60,49.65,-0.35,8
108/01/25,38,"1,895",49.50,50.20,49.50,50.20,0.55,18
