date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,5,81,16.35,16.40,16.15,16.40,-0.4,5
107/07/03,3,51,16.75,17.00,16.75,17.00,0.6,2
107/07/04,3,51,17.00,17.00,17.00,17.00,0.0,3
107/07/05,10,170,17.00,17.40,16.60,16.60,-0.4,6
107/07/06,2,34,16.95,16.95,16.70,16.70,0.1,2
107/07/09,0,0,--,--,--,--,0.0,0
107/07/10,2,32,16.20,16.20,16.20,16.20,0.15,2
107/07/11,4,65,16.20,16.75,16.20,16.75,0.55,4
107/07/12,1,16,16.30,16.30,16.30,16.30,-0.45,1
107/07/13,0,0,--,--,--,--,0.0,0
107/07/16,10,164,16.25,16.60,16.25,16.60,0.3,5
107/07/17,3,49,16.40,16.40,16.30,16.30,-0.3,3
107/07/18,1,16,16.30,16.30,16.30,16.30,0.0,1
107/07/19,1,17,16.80,16.80,16.80,16.80,0.5,1
107/07/20,2,34,17.00,17.00,17.00,17.00,0.2,2
107/07/23,10,165,16.60,16.60,16.40,16.40,-0.6,4
107/07/24,1,17,17.30,17.30,17.30,17.30,0.9,1
107/07/25,0,0,--,--,--,--,0.0,0
107/07/26,1,17,17.00,17.00,17.00,17.00,0.1,1
107/07/27,1,16,16.45,16.45,16.45,16.45,-0.55,1
107/07/30,7,112,16.15,16.15,15.70,16.15,-0.3,6
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,0,0,--,--,--,--,0.0,0
107/08/02,1,16,16.05,16.05,16.05,16.05,-0.1,1
107/08/03,0,0,--,--,--,--,0.0,0
107/08/06,1,16,15.85,15.85,15.85,15.85,-0.2,1
107/08/07,1,16,16.15,16.15,16.15,16.15,0.3,1
107/08/08,1,16,16.00,16.00,16.00,16.00,-0.15,1
107/08/09,4,61,15.25,15.35,15.25,15.35,-0.65,4
107/08/10,4,61,15.25,15.35,15.25,15.35,0.0,3
107/08/13,0,0,--,--,--,--,0.0,0
107/08/14,1,15,15.45,15.45,15.45,15.45,0.15,1
107/08/15,0,0,--,--,--,--,0.0,0
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,6,90,14.70,16.00,14.70,16.00,0.7,4
107/08/20,0,0,--,--,--,--,0.0,0
107/08/21,5,75,15.10,15.10,14.80,14.85,-0.85,5
107/08/22,6,90,15.10,15.10,14.95,14.95,0.1,3
107/08/23,2,30,15.00,15.00,15.00,15.00,0.05,2
107/08/24,2,30,15.00,15.00,14.80,14.80,-0.2,3
107/08/27,0,0,--,--,--,--,0.0,0
107/08/28,5,75,15.40,15.40,14.80,14.80,0.0,5
107/08/29,0,0,--,--,--,--,0.0,1
107/08/30,0,0,--,--,--,--,0.0,0
107/08/31,13,190,14.80,14.85,14.35,14.80,0.0,12
107/09/03,5,74,14.75,14.85,14.55,14.55,-0.25,6
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,4,60,14.90,14.95,14.90,14.95,0.4,4
107/09/06,6,87,14.90,14.90,14.50,14.50,-0.45,4
107/09/07,6,86,14.70,14.70,14.25,14.25,-0.25,5
107/09/10,10,140,14.15,14.15,14.00,14.00,-0.25,8
107/09/11,1,14,13.70,13.70,13.70,13.70,-0.3,1
107/09/12,1,14,14.00,14.00,14.00,14.00,0.3,1
107/09/13,2,32,13.70,13.75,13.70,13.75,-0.25,3
107/09/14,1,14,14.00,14.00,14.00,14.00,0.25,1
107/09/17,3,42,14.10,14.10,14.05,14.05,0.05,2
107/09/18,0,0,--,--,--,--,0.0,1
107/09/19,0,0,--,--,--,--,0.0,0
107/09/20,2,28,14.05,14.05,14.05,14.05,0.0,2
107/09/21,0,0,--,--,--,--,0.0,0
107/09/25,1,14,14.00,14.00,14.00,14.00,-0.05,1
107/09/26,0,0,--,--,--,--,0.0,0
107/09/27,8,109,14.00,14.00,13.45,13.90,-0.1,7
107/09/28,3,41,13.55,13.55,13.45,13.45,-0.45,3
107/10/01,6,81,13.60,13.60,13.40,13.40,-0.05,5
107/10/02,0,0,--,--,--,--,0.0,0
107/10/03,3,40,13.00,13.40,13.00,13.40,0.0,4
107/10/04,0,0,--,--,--,--,0.0,0
107/10/05,12,162,13.50,13.55,13.50,13.50,0.1,4
107/10/08,0,0,--,--,--,--,0.0,0
107/10/09,2,26,13.30,13.30,12.90,12.90,-0.55,2
107/10/11,3,36,12.05,12.05,12.00,12.00,-0.9,3
